HOLE:	995B
LEG:	164
TOP:	133.960007
BOTTOM:	657.911194
DEPTH_WMSF	IDPH	IMPH	SFLU
m	ohmm	ohmm	ohmm
226.6192	1.0332	1.0120	0.8787
226.7716	1.0109	1.0084	0.8674
226.9240	1.0023	0.9967	0.9515
227.0764	0.9978	0.9797	0.9567
227.2288	0.9936	0.9613	0.9282
227.3812	0.9903	0.9447	0.8986
227.5336	0.9933	0.9326	0.8994
227.6860	0.9772	0.9272	0.8651
227.8384	0.9654	0.9284	0.8544
227.9908	0.9669	0.9323	0.8451
228.1432	0.9701	0.9319	0.8513
228.2956	0.9660	0.9236	0.8522
228.4480	0.9636	0.9137	0.8292
228.6004	0.9830	0.9127	0.8663
228.7528	1.0037	0.9271	0.9027
228.9052	1.0081	0.9543	0.8988
229.0576	1.0119	0.9838	0.8900
229.2100	1.0219	1.0033	0.9058
229.3624	1.0273	1.0087	0.9288
229.5148	1.0234	1.0030	0.9564
229.6672	1.0175	0.9894	0.9347
229.8196	1.0144	0.9700	0.9217
229.9720	1.0161	0.9490	0.9028
230.1244	1.0059	0.9342	0.8658
230.2768	1.0084	0.9339	0.8290
230.4292	1.0203	0.9525	0.8467
230.5816	1.0303	0.9865	0.8760
230.7340	1.0340	1.0256	0.8904
230.8864	1.0425	1.0578	0.8809
231.0388	1.0634	1.0783	0.9571
231.1912	1.1019	1.0932	1.0707
231.3436	1.1502	1.1124	1.0884
231.4960	1.1807	1.1396	1.0700
231.6484	1.1958	1.1694	1.0710
231.8008	1.2034	1.1921	1.0757
231.9532	1.2109	1.2024	1.0551
232.1056	1.2300	1.2039	1.0442
232.2580	1.2541	1.2066	1.0539
232.4104	1.2760	1.2178	1.1242
232.5628	1.2743	1.2361	1.0915
232.7152	1.2762	1.2522	1.1553
232.8676	1.2840	1.2551	1.1864
233.0200	1.2986	1.2414	1.1369
233.1724	1.3369	1.2214	1.0837
233.3248	1.3590	1.2127	1.0932
233.4772	1.3673	1.2278	1.1945
233.6296	1.3738	1.2689	1.1954
233.7820	1.3915	1.3268	1.1972
233.9344	1.4078	1.3821	1.1957
234.0868	1.4123	1.4147	1.2019
234.2392	1.4134	1.4210	1.1658
234.3916	1.4221	1.4133	1.1630
234.5440	1.4400	1.4001	1.1760
234.6964	1.4235	1.3806	1.2168
234.8488	1.4192	1.3534	1.2267
235.0012	1.4201	1.3215	1.2089
235.1536	1.4131	1.2891	1.2269
235.3060	1.4129	1.2635	1.2176
235.4584	1.4325	1.2550	1.1349
235.6108	1.4400	1.2722	1.0714
235.7632	1.4439	1.3191	1.0471
235.9156	1.4496	1.3922	1.0501
236.0680	1.4553	1.4728	1.1121
236.2204	1.4528	1.5285	1.1868
236.3728	1.4606	1.5389	1.1960
236.5252	1.4586	1.5121	1.2601
236.6776	1.4529	1.4675	1.3097
236.8300	1.4449	1.4214	1.3344
236.9824	1.4353	1.3842	1.3238
237.1348	1.4087	1.3546	1.2216
237.2872	1.3388	1.3224	1.0052
