OCEAN DRILLING PROGRAM		
Hole: 995B		
Leg: 164		
Shear Sonic Tool		
Operator: Borehole Research Group (Lamont Doherty Earth 		
Date: 11/2/1995		

"Note: for further information about the tool and the data processing performed, refer to the paper: Guerin et al., "Characterization of in situ elastic properties of gas hydrate-bearing sediments on the Blake Ridge, J. Geophys. Res., 104(8), 17,781-17,795, 1999".		

DEPTH	VP	VS
mbsf	m/s	m/s
556.69	1642.91	579.67
556.54	1651.25	586.06
556.39	1655.65	605.99
556.24	1646.73	625.59
556.09	1651.38	644.9
555.94	1651.38	668.45
555.79	1662.45	697.43
555.64	1666.96	707.51
555.49	1682.89	707.97
555.34	1695.08	710.62
555.19	1704.49	714.4
555.04	1711.5	676.39
554.89	1716.15	654.48
554.74	1690.09	585.65
554.59	1678.4	518.78
554.44	1673.69	450.19
554.29	1673.69	428.66
554.14	1671.39	484.82
553.99	1678.21	512.88
553.86	1682.79	545.47
553.74	1680.49	576.71
553.62	1675.84	592.28
553.5	1675.84	520.33
553.38	1675.84	555.13
553.24	1678.18	553.35
553.09	1680.52	550.39
552.94	1687.53	555.63
552.79	1689.83	558.24
552.64	1687.56	532.48
552.49	1685.22	539.57
552.34	1703.11	549.95
552.19	1733.47	559.47
552.04	1765.68	566.07
551.89	1785.33	581.19
551.74	1785.33	593.37
551.59	1806.29	592.32
551.46	1798.43	584.25
551.34	1789.02	589.36
551.22	1781.05	592
551.1	1781.05	592.13
550.98	1781.05	605.09
550.84	1779.75	617.52
550.69	1782.33	612.75
550.54	1784.96	607.01
550.39	1787.58	601.14
550.24	1791.53	585.73
550.09	1791.53	569.28
549.94	1790.23	567.73
549.79	1777.42	564.69
549.64	1768.41	560.18
549.49	1754.36	583.25
549.34	1741.82	591.63
549.19	1730.57	598.68
549.04	1725.7	605.41
548.89	1717.14	635.86
548.74	1722.12	634.28
548.59	1724.56	644.46
548.44	1733.24	629.42
548.29	1741.86	612.81
548.14	1749.18	587.55
547.99	1745.43	576.02
547.84	1751.67	565.62
547.69	1749.15	578.25
547.54	1746.64	592.64
547.39	1755.58	601.38
547.24	1765.76	607.34
547.09	1770.92	615.77
546.94	1788.02	618.79
546.79	1811.96	617.32
546.64	1818.63	618.5
546.49	1828.04	615.58
546.34	1837.45	610.62
546.19	1837.45	606.66
546.04	1826.41	602.99
545.89	1815.86	589.87
545.74	1798.76	594.38
545.59	1771.91	596.81
545.44	1748.66	603.03
545.29	1726.06	598.12
545.14	1705.55	600.3
544.99	1686.57	581.71
544.84	1671.84	578.33
544.69	1646.09	561.94
544.54	1622.04	561.46
544.39	1602.76	552.73
544.24	1587.77	553.71
544.09	1581.39	547.69
543.94	1577.3	550.68
543.79	1574.29	557.34
543.64	1569.32	564.54
543.49	1558.46	566.46
543.34	1549.35	570.51
543.19	1544.38	578.4
543.04	1549.45	585.57
542.89	1552.41	592.45
542.74	1559.23	602.77
542.59	1562.21	619.04
542.44	1566.17	628.53
542.29	1563.11	628.9
542.14	1567.15	619.58
541.99	1576.38	605.69
541.84	1576.38	585.89
541.69	1578.4	566.02
541.54	1580.43	559.12
541.39	1578.4	566.88
541.24	1570.16	578.49
541.09	1573.2	585.16
540.94	1569.19	571.1
540.79	1565.15	552.25
540.64	1564.15	539.92
540.49	1558.13	531.58
540.34	1557.14	542.4
540.19	1553.21	561.68
540.06	1552.21	578.82
539.94	1550.22	586.7
539.82	1557.26	593.18
539.7	1557.26	580.37
539.58	1558.25	591.7
539.44	1565.2	586.29
539.29	1563.22	577.65
539.14	1565.21	558.81
538.99	1564.19	539.78
538.84	1567.18	537.61
538.69	1568.2	543.44
538.54	1575.24	533.7
538.39	1579.31	545.24
538.24	1576.27	552.88
538.09	1574.27	532.83
537.94	1569.24	533.9
537.79	1563.18	556.73
537.64	1562.15	564.6
537.49	1563.16	572.85
537.34	1561.18	583.41
537.19	1557.27	581.71
537.04	1562.3	574.89
536.89	1560.27	569.92
536.74	1559.26	574.12
536.59	1564.26	574.65
536.44	1569.16	573.93
536.29	1567.13	572.26
536.14	1566.13	570.08
535.99	1568.15	556.23
535.84	1567.13	551.78
535.69	1566.14	548.96
535.54	1555.42	546.46
535.39	1547.6	546.25
535.24	1537.76	551.27
535.09	1529.89	563.43
534.94	1524.06	576.9
534.79	1525.01	590.66
534.64	1521.24	595.54
534.49	1521.24	612.14
534.34	1530.12	623.99
534.19	1542.01	637.47
534.04	1555.87	579.07
533.89	1582.38	572.79
533.74	1584.42	553.14
533.59	1583.4	524.1
533.44	1579.31	503.71
533.31	1576.27	558.73
533.19	1569.23	545.57
533.07	1574.46	529.41
532.95	1574.46	514.27
532.83	1579.65	487.31
532.69	1586.88	484.45
532.54	1594.06	499.62
532.39	1623.11	518.43
532.24	1657.2	547.19
532.09	1694.97	580.69
531.94	1734.06	585.21
531.79	1778.24	594.44
531.64	1800.84	602.62
531.49	1803.46	590.01
531.34	1798.25	582.6
531.19	1793.02	574.6
531.04	1774.94	565.07
530.89	1754.71	557.8
530.74	1738.35	559.49
530.59	1724.79	552.34
530.44	1709.95	557.17
530.29	1703.92	565.39
530.14	1701.55	574.43
529.99	1694.49	588.44
529.84	1692.14	600.1
529.69	1688.62	616.66
529.54	1688.62	629.42
529.39	1689.8	626.29
529.24	1695.67	609.68
529.09	1696.84	585.34
528.94	1701.55	547.81
528.79	1721.62	521.02
528.64	1744.38	516.56
528.49	1767.3	512.88
528.34	1792.59	519.84
528.19	1815.51	525.05
528.04	1820.91	521.85
527.89	1827.78	523.55
527.74	1830.52	535.99
527.59	1829.16	545.36
527.44	1823.81	554.32
527.29	1817.09	555.63
527.14	1806.21	548.56
526.99	1799.44	548.24
526.84	1796.77	550.32
526.69	1795.45	550.83
526.54	1794.14	558.02
526.39	1790.22	561.75
526.24	1786.28	559.37
526.09	1782.34	556.88
525.94	1782.34	545.63
525.79	1779.74	537.04
525.64	1778.45	533.5
525.49	1777.15	529.67
525.34	1775.86	525.94
525.19	1775.86	539.81
525.04	1778.46	548.61
524.89	1781.04	567.52
524.74	1781.04	586.46
524.59	1782.34	607.29
524.44	1782.34	605.71
524.29	1781.03	613.07
524.14	1781.03	599.14
523.99	1786.27	585.26
523.84	1786.27	568.76
523.69	1787.58	579.51
523.54	1790.2	578.14
523.39	1798.18	581.69
523.24	1802.21	577.11
523.09	1810.18	585.5
522.94	1812.84	572.5
522.79	1815.5	571.38
522.64	1810.14	585.14
522.49	1804.79	594.71
522.34	1799.43	579.03
522.19	1795.46	581.28
522.04	1791.49	572.48
521.89	1792.81	540.88
521.74	1795.47	522.62
521.59	1798.13	522.62
521.44	1800.77	513.68
521.29	1804.74	518.21
521.14	1807.42	534.3
520.99	1804.76	548.84
520.84	1802.1	555.52
520.69	1796.86	555.96
520.54	1792.89	549.12
520.39	1787.57	539.83
520.24	1783.66	533.99
520.09	1783.66	540.89
519.94	1782.35	558.65
519.79	1786.26	577.8
519.64	1786.26	597.16
519.51	1783.66	616.28
519.4	1786.26	625.14
519.31	1786.26	631.04
519.19	1784.96	616.61
519.07	1787.61	600.83
518.93	1790.25	582.09
518.77	1798.17	555.75
518.59	1799.48	535.03
518.44	1800.79	527.92
518.29	1799.45	521.69
518.14	1794.21	516.3
517.99	1786.3	523.14
517.84	1783.68	528.18
517.69	1784.99	537.93
517.54	1781.05	547.66
517.39	1781.05	558.4
517.24	1782.35	564.95
517.09	1779.76	562.62
516.94	1790.64	561.69
516.79	1799.98	567.11
516.64	1807.89	559.04
516.49	1837.46	550.73
516.34	1869.61	546.53
516.19	1890.31	540.18
516.04	1918.31	524.09
515.89	1961.61	522.73
515.74	1983.83	525.27
515.59	1993.59	527.91
515.44	2005.11	528.91
515.31	2015.03	538.76
515.2	2024.95	545.5
515.11	2024.95	548.67
515.02	2026.61	552.05
514.93	2026.61	557.9
514.82	2026.61	563.35
514.69	2023.25	566.15
514.54	2019.89	569.29
514.39	2018.2	575.57
514.24	1996.15	582.45
514.09	1975.59	588.21
513.94	1956.53	596.41
513.79	1951.59	599.06
513.64	1951.59	597.92
513.49	1977.01	585.75
513.34	1997.57	566.76
513.19	2008.46	545.09
513.04	2003.64	528.77
512.89	1989.06	512.63
512.74	1966.65	513
512.59	1946.09	521.91
512.44	1932.2	529.64
512.29	1914.03	565.11
512.14	1894.73	594.91
511.99	1880.18	628.51
511.84	1867.13	648.04
511.69	1854.18	683
511.54	1845.72	691.78
511.39	1841.53	702.52
511.24	1842.94	622.59
511.09	1845.76	613.03
510.94	1849.98	530.28
510.79	1851.36	494.46
510.64	1854.14	461.63
510.49	1855.56	509.87
510.34	1852.73	447.54
510.19	1847.13	447.54
510.04	1844.37	398.4
509.89	1818.34	350.13
509.74	1787.08	301.38
509.59	1752.78	301.38
509.44	1720.11	306.17
509.29	1687.67	311.31
509.14	1675.98	433.4
508.99	1665.57	555.48
508.84	1661.02	677.57
508.69	1656.5	780.31
508.54	1655.37	775.17
