HOLE:	995B
LEG:	164
TOP:	115.823997
BOTTOM:	663.092407
DEPTH_WMSF	SGR	CGR	THOR	URAN	POTA	W1NG	W2NG	W3NG	W4NG	W5NG
m	gAPI	gAPI	ppm	ppm	%	cps	cps	cps	cps	cps
140.0556	60.9079	55.5382	7.8507	0.6066	1.6825	123.5658	45.0132	8.8261	0.0000	3.5305
140.2080	61.5186	53.8294	7.4519	0.8687	1.6618	140.9508	50.0417	16.6806	3.3361	2.5021
140.3604	61.2482	52.8492	7.1721	0.9489	1.6601	135.9466	47.5396	16.6806	0.8340	4.1701
140.5128	61.6800	51.9352	6.8945	1.1009	1.6617	116.7109	49.5137	11.4943	0.0000	1.7683
140.6652	62.0142	52.0387	6.8154	1.1270	1.6834	139.2827	55.0459	15.0125	2.5021	5.0042
140.8176	63.6128	53.6079	7.0300	1.1303	1.7324	145.8886	39.7878	17.6835	2.6525	4.4209
140.9700	59.9592	50.2846	6.5898	1.0930	1.6258	133.3922	43.2862	15.0177	1.7668	2.6502
141.1224	59.1069	48.6450	6.4547	1.1819	1.5570	120.9341	44.2035	13.3445	0.0000	2.5021
141.2748	59.5467	47.0326	6.2985	1.4138	1.4940	127.6063	50.0417	15.8465	1.6681	4.1701
141.4272	60.8572	47.5910	6.5264	1.4987	1.4815	126.3251	49.4700	14.1343	3.5336	4.4170
141.5796	57.1327	43.7525	6.1001	1.5116	1.3422	123.5392	46.7446	20.0334	4.1736	0.8347
141.7320	53.8457	40.8406	5.7905	1.4692	1.2338	107.7694	44.2774	9.1896	0.8354	0.0000
141.8844	51.4947	38.2827	5.4909	1.4926	1.1441	116.6078	36.2191	11.4841	0.8834	0.0000
142.0368	53.1808	38.9397	5.6970	1.6088	1.1416	112.6878	37.5626	15.8598	2.5042	1.6694
142.1892	54.9308	39.2429	5.8482	1.7723	1.1294	124.5583	29.1519	16.7845	5.3004	1.7668
142.3416	55.0611	37.8076	5.6745	1.9492	1.0801	126.8781	34.2237	12.5209	2.5042	3.3389
142.4940	54.2425	35.2693	5.3456	2.1434	0.9973	100.7067	48.5866	12.3675	2.6502	3.5336
142.6464	52.9412	32.9045	5.0693	2.2636	0.9142	102.5855	45.8716	12.5104	3.3361	0.8340
142.7988	54.1562	32.0210	5.0306	2.5007	0.8704	120.2476	33.5986	5.3050	3.5367	2.6525
142.9512	55.0946	29.6255	4.7412	2.8773	0.7881	114.1667	49.1667	11.6667	2.5000	0.8333
143.1036	57.7469	29.2576	4.7696	3.2185	0.7611	120.2003	35.0584	8.3472	3.3389	4.1736
143.2560	56.2544	27.6023	4.5519	3.2369	0.7077	121.8698	45.0751	14.1903	3.3389	3.3389
143.4084	57.1398	29.9967	4.9669	3.0664	0.7651	108.6572	41.5194	8.8339	2.6502	0.8834
