HOLE:	995B
LEG:	164
TOP:	151.332993
BOTTOM:	661.415771
DEPTH_WMSF	RHOB	PEF	DRHO
m	g/cm3	barns/e-	g/cm3
241.4014	1.6471	2.9098	-0.0147
241.5538	1.6118	2.8292	-0.0139
241.7062	1.6345	2.8243	0.0036
241.8586	1.6634	2.8682	0.0182
242.0110	1.7026	2.9262	0.0143
242.1634	1.6951	3.0268	0.0084
242.3158	1.6648	3.0221	0.0023
242.4682	1.6496	2.9893	-0.0005
242.6206	1.6384	2.9874	-0.0036
242.7730	1.6525	2.9828	-0.0034
242.9254	1.6472	3.0676	-0.0074
243.0778	1.6500	3.0674	-0.0070
243.2302	1.6471	3.0330	-0.0081
243.3826	1.6490	3.0115	-0.0069
243.5350	1.6359	2.9448	0.0011
243.6874	1.6257	2.8455	0.0141
243.8398	1.6041	2.8882	0.0093
243.9922	1.6281	2.9383	0.0206
244.1446	1.6475	3.0667	0.0033
244.2970	1.6797	3.0770	-0.0023
244.4494	1.7038	3.1325	-0.0046
244.6018	1.6982	3.0706	-0.0121
244.7542	1.6949	2.7775	-0.0142
244.9066	1.6487	2.5459	-0.0149
245.0590	1.6361	2.4324	-0.0048
245.2114	1.6400	2.6531	0.0105
245.3638	1.6699	2.7551	0.0116
245.5162	1.6737	2.9581	0.0116
245.6686	1.6689	2.9148	0.0089
245.8210	1.6740	3.0278	-0.0028
245.9734	1.6941	3.0370	-0.0098
246.1258	1.7099	3.0753	-0.0176
246.2782	1.7016	3.1541	-0.0242
246.4306	1.6647	3.1895	-0.0218
246.5830	1.6564	2.9919	0.0104
246.7354	1.6212	2.8105	0.0102
246.8878	1.6169	2.6890	0.0236
247.0402	1.6208	2.8500	0.0212
247.1926	1.6219	2.8970	0.0030
247.3450	1.6577	2.8990	0.0057
247.4974	1.6298	2.8171	0.0110
247.6498	1.5619	2.7808	0.0038
247.8022	1.5169	2.7909	0.0173
247.9546	1.5183	2.7163	0.0378
248.1070	1.5291	2.8932	0.0472
248.2594	1.5660	3.0088	0.0475
248.4118	1.5760	3.1086	0.0259
248.5642	1.5693	2.9824	0.0131
248.7166	1.5333	2.8422	-0.0016
248.8690	1.5404	2.8441	0.0068
249.0214	1.5500	2.6650	0.0129
249.1738	1.5525	2.6617	0.0207
249.3262	1.5345	2.4439	0.0292
249.4786	1.4961	2.3964	0.0126
249.6310	1.4675	2.1918	-0.0006
249.7834	1.4850	2.2512	-0.0062
249.9358	1.5247	2.2594	-0.0021
250.0882	1.5485	2.4770	0.0030
250.2406	1.5433	2.7391	0.0006
250.3930	1.5677	3.0646	0.0003
250.5454	1.6236	2.9586	0.0171
250.6978	1.6543	2.8488	0.0164
250.8502	1.6372	2.8805	0.0009
251.0026	1.6627	3.1349	0.0145
251.1550	1.6702	2.9792	0.0189
251.3074	1.6131	2.5944	0.0220
251.4598	1.5080	2.2253	0.0211
251.6122	1.4419	2.0335	0.0277
251.7646	1.4406	2.0332	0.0121
251.9170	1.5025	2.1998	0.0100
252.0694	1.5545	2.4378	0.0035
252.2218	1.5846	2.3961	0.0053
252.3742	1.5764	2.3487	0.0058
252.5266	1.5681	2.3025	0.0111
252.6790	1.5365	2.6185	0.0144
252.8314	1.5340	3.0168	0.0119
