HOLE:	995B
LEG:	164
TOP:	150.876007
BOTTOM:	658.977600
DEPTH_WMSF	CALI
m	in
272.1864	13.7069
272.3388	13.5782
272.4912	13.5373
272.6436	13.6742
272.7960	13.4997
272.9484	13.7101
273.1008	13.9279
273.2532	14.4858
273.4056	15.8873
273.5580	15.8471
273.7104	15.6235
273.8628	15.1379
274.0152	15.1794
274.1676	15.2487
274.3200	14.6117
274.4724	15.1279
274.6248	15.2325
274.7772	14.7637
274.9296	13.8927
275.0820	14.3228
275.2344	13.8653
275.3868	13.8354
275.5392	14.4705
275.6916	14.0126
275.8440	15.0255
275.9964	16.1416
276.1488	15.5065
276.3012	13.6972
276.4536	13.5880
276.6060	13.6867
276.7584	13.8532
276.9108	13.8277
277.0632	14.0729
277.2156	14.1358
277.3680	14.4615
277.5204	15.4546
277.6728	16.0303
277.8252	16.0961
277.9776	15.8015
278.1300	16.1406
278.2824	16.1424
278.4348	14.6331
278.5872	15.1173
278.7396	14.8963
278.8920	13.9386
279.0444	14.2674
279.1968	14.5184
279.3492	14.1028
279.5016	14.3501
279.6540	14.4364
279.8064	13.9775
279.9588	14.1137
280.1112	13.7391
280.2636	13.2731
280.4160	13.5999
280.5684	14.4247
280.7208	15.1157
280.8732	15.1217
281.0256	14.9294
281.1780	13.4768
281.3304	13.6724
281.4828	13.6028
281.6352	13.9498
281.7876	13.7866
281.9400	13.3120
282.0924	13.8658
282.2448	14.4382
282.3972	14.1547
282.5496	13.7106
282.7020	14.7546
282.8544	15.3725
283.0068	16.2769
283.1592	16.4050
283.3116	16.6635
283.4640	15.9601
283.6164	15.9364
283.7688	15.7481
283.9212	14.2557
284.0736	15.3496
284.2260	14.7147
284.3784	15.2768
284.5308	16.7035
284.6832	16.3811
284.8356	13.9358
284.9880	13.6035
285.1404	13.2193
285.2928	13.8756
285.4452	14.3118
285.5976	15.4220
285.7500	14.6883
285.9024	14.0739
286.0548	14.0768
286.2072	13.8556
286.3596	13.7227
286.5120	13.1961
286.6644	13.2424
286.8168	13.3539
286.9692	13.2982
287.1216	13.5979
287.2740	13.4182
287.4264	13.8851
287.5788	13.8991
287.7312	13.2602
287.8836	13.2527
288.0360	13.2794
288.1884	13.4023
288.3408	13.5024
288.4932	13.5937
288.6456	14.0879
288.7980	13.8672
288.9504	13.6018
289.1028	13.5490
289.2552	13.5862
289.4076	13.6547
289.5600	13.9115
289.7124	15.1454
289.8648	16.5271
290.0172	17.2619
290.1696	18.0433
290.3220	17.4978
290.4744	17.4593
290.6268	16.1351
290.7792	16.5518
290.9316	16.0887
291.0840	16.0536
291.2364	14.5503
291.3888	14.0218
291.5412	14.1011
291.6936	14.1121
291.8460	14.2015
291.9984	15.4599
292.1508	15.5517
292.3032	15.5503
292.4556	14.3238
292.6080	12.7242
292.7604	13.0359
292.9128	13.2005
293.0652	13.9376
293.2176	14.4755
293.3700	14.3264
293.5224	13.3382
293.6748	13.5951
293.8272	13.6675
293.9796	13.6114
294.1320	13.4458
294.2844	13.7191
294.4368	13.5530
294.5892	13.4431
294.7416	14.1873
294.8940	13.4876
295.0464	13.4558
295.1988	13.5291
295.3512	14.2193
295.5036	14.3455
295.6560	14.2020
295.8084	15.9850
295.9608	15.3259
296.1132	15.3119
296.2656	15.0176
296.4180	15.1260
296.5704	16.1073
296.7228	16.1186
296.8752	15.9648
297.0276	15.7859
297.1800	14.7574
297.3324	14.3846
297.4848	14.2582
297.6372	14.0043
297.7896	13.6621
297.9420	13.5348
298.0944	13.4352
298.2468	13.4962
298.3992	13.5196
298.5516	13.6306
298.7040	13.5706
298.8564	13.7100
299.0088	14.0619
299.1612	13.5833
299.3136	13.5968
299.4660	13.6439
299.6184	13.8664
299.7708	13.7101
299.9232	13.7548
300.0756	13.7893
300.2280	13.7300
300.3804	13.8647
300.5328	13.6906
300.6852	13.6723
300.8376	13.6863
300.9900	14.0720
301.1424	14.2211
301.2948	13.9133
301.4472	15.1563
301.5996	15.9264
301.7520	15.9425
301.9044	15.3758
302.0568	13.8332
302.2092	13.2894
302.3616	13.3273
302.5140	13.3317
302.6664	13.5593
302.8188	13.8229
302.9712	13.7775
303.1236	13.8224
303.2760	14.7528
303.4284	15.0159
303.5808	14.7218
303.7332	15.4226
303.8856	15.6926
304.0380	15.6283
304.1904	15.0363
304.3428	15.0106
